episode,frame,reward,avg20_reward,loss,epsilon,episode_steps,episode_time_sec,steps_per_sec
77,1273,14.0,14.85,0.024102976745260612,0.4612219674180955,14,0.050089359283447266,279.5004807463468
78,1282,9.0,13.9,0.022096816553837724,0.45660974774391455,9,0.03427624702453613,262.5725037387403
79,1293,11.0,13.8,0.022510168311948128,0.4520436502664754,11,0.04523611068725586,243.1685623030137
80,1307,14.0,13.45,0.023654574661382606,0.44752321376381066,14,0.05339407920837402,262.2013565467446
81,1320,13.0,12.65,0.021425787646036882,0.44304798162617254,13,0.046579837799072266,279.0907099349951
82,1331,11.0,12.65,0.020952489057725125,0.4386175018099108,11,0.0342555046081543,321.11627389022675
83,1344,13.0,12.5,0.023303314112126827,0.4342313267918117,13,0.03953909873962402,328.788475569679
84,1358,14.0,12.7,0.019369317617799555,0.4298890135238936,14,0.06133866310119629,228.24103578688786
85,1372,14.0,12.95,0.022893703010465418,0.42559012338865465,14,0.06981134414672852,200.5404733444896
86,1385,13.0,13.1,0.020933135197712824,0.4213342221547681,13,0.043949127197265625,295.796545438764
87,1395,10.0,13.05,0.02513354830443859,0.41712087993322045,10,0.030916929244995117,323.4473877000193
88,1405,10.0,12.85,0.022633525356650353,0.41294967113388825,10,0.030877113342285156,323.8644716928684
89,1414,9.0,12.4,0.02478725349323617,0.40882017442254937,9,0.033647775650024414,267.4768190804158
90,1426,12.0,12.25,0.021437150270988543,0.4047319726783239,12,0.038391828536987305,312.5665136902507
91,1437,11.0,11.8,0.02159819726578214,0.40068465295154065,11,0.036757707595825195,299.25696457875245
92,1448,11.0,11.75,0.023741876960478046,0.39667780642202527,11,0.04611039161682129,238.5579392040372
93,1460,12.0,11.75,0.018933045289789636,0.392711028357805,12,0.10528731346130371,113.97384552328201
94,1474,14.0,12.0,0.02353713022811072,0.38878391807422696,14,0.05046701431274414,277.4089212657199
95,1483,9.0,11.85,0.021960347063011594,0.3848960788934847,9,0.029179096221923828,308.4399849656006
96,1493,10.0,11.7,0.021346916910260916,0.38104711810454983,10,0.037802696228027344,264.5313958475239
97,1505,12.0,11.6,0.09105923554549615,0.37723664692350434,12,0.06736636161804199,178.13044540001061
98,1516,11.0,11.7,0.09707915037870407,0.37346428045426927,11,0.0570826530456543,192.70302645538004
99,1527,11.0,11.7,0.07611700756983324,0.36972963764972655,11,0.05248594284057617,209.57992568433102
100,1537,10.0,11.5,0.07599248550832272,0.36603234127322926,10,0.04776644706726074,209.35197432454692
101,1549,12.0,11.45,0.08273894370843966,0.36237201786049694,12,0.03666424751281738,327.2943211450049
102,1563,14.0,11.6,0.08578693946557385,0.358748297681892,14,0.04178428649902344,335.05418359428495
103,1577,14.0,11.65,0.058892215602099895,0.35516081470507305,14,0.04182767868041992,334.7065972024305
104,1591,14.0,11.65,0.05108736255871398,0.3516092065580223,14,0.042439937591552734,329.87795916991564
105,1616,25.0,12.2,0.06116812892258167,0.34809311449244207,25,0.06374168395996094,392.2080253747868
106,1629,13.0,12.2,0.05139766132029203,0.34461218334751764,13,0.038126468658447266,340.9704716285003
107,1641,12.0,12.3,0.049783945394059025,0.34116606151404244,12,0.035761356353759766,335.5577423096924
108,1656,15.0,12.55,0.0651650682091713,0.337754400898902,15,0.044078826904296875,340.29943747295545
109,1670,14.0,12.8,0.06232535972126892,0.334376856889913,14,0.045421600341796875,308.2233980011758
110,1687,17.0,13.05,0.053030545658925,0.33103308832101386,17,0.055487632751464844,306.3745767664094
111,1709,22.0,13.6,0.05472350239076398,0.3277227574378037,22,0.06082510948181152,361.6927316272014
112,1723,14.0,13.75,0.04670639043407781,0.3244455298634257,14,0.04792141914367676,292.14493748662915
113,1756,33.0,14.8,0.058289462361823426,0.3212010745647914,33,0.09523534774780273,346.50999634493775
114,1818,62.0,17.2,0.05821452076516805,0.3179890638191435,62,0.17103099822998047,362.507385454363
115,1870,52.0,19.35,0.05789042181836871,0.31480917318095203,52,0.15112924575805664,344.0763549051716
116,1885,15.0,19.6,0.046329611788193385,0.3116610814491425,15,0.05370807647705078,279.2876040982297
117,1899,14.0,19.7,0.055544557449008734,0.30854447063465107,14,0.0498812198638916,280.6667527017403
118,1925,26.0,20.45,0.05063147477519054,0.30545902592830454,26,0.08254098892211914,314.9950144713202
119,1939,14.0,20.6,0.05145388961370502,0.3024044356690215,14,0.0500490665435791,279.72549673448583
120,1957,18.0,21.0,0.05883882939815521,0.29938039131233124,18,0.05679607391357422,316.9233145831584
121,1989,32.0,22.0,0.048859980423003435,0.2963865873992079,32,0.09896540641784668,323.345309823629
122,2065,76.0,25.1,0.08969242914922927,0.29342272152521587,76,0.23621511459350586,321.74063091087834
123,2124,59.0,27.35,0.08127460057326293,0.2904884943099637,59,0.1970522403717041,299.4129875849519
124,2142,18.0,27.55,0.07614934806608492,0.28758360936686406,18,0.07831883430480957,229.8297741504385
125,2244,102.0,31.4,0.08481907811673249,0.2847077732731954,102,0.357602596282959,285.2328284532107
126,2363,119.0,36.7,0.07797339887303464,0.28186069554046345,119,0.518998384475708,229.2878042774907
127,2416,53.0,38.75,0.07026971574380712,0.2790420885850588,53,0.2212209701538086,239.57945742282308
128,2545,129.0,44.45,0.09103431220549021,0.2762516676992082,129,0.5184948444366455,248.7970736529906
129,2669,124.0,49.95,0.09617227375988037,0.27348915102221616,124,0.3908073902130127,317.29185042384387
130,2742,73.0,52.75,0.09214547026443155,0.270754259511994,73,0.29553675651550293,247.008192350418
131,2842,100.0,56.65,0.0980701395496726,0.26804671691687404,100,0.34903740882873535,286.5022415092123
132,3042,200.0,65.95,0.09664585849270224,0.2653662497477053,200,0.6682603359222412,299.28455909924304
133,3242,200.0,74.3,0.10647663708776235,0.2627125872502282,200,0.6881871223449707,290.6186319187546
134,3442,200.0,81.2,0.10032020544633269,0.2600854613777259,200,0.5605475902557373,356.7939698193234
135,3642,200.0,88.6,0.11443472195416689,0.2574846067639487,200,0.6207942962646484,322.1679084415086
136,3842,200.0,97.85,0.10722582650370896,0.2549097606963092,200,0.6819932460784912,293.25803613160974
137,4042,200.0,107.15,0.10530403559096158,0.2523606630893461,200,0.5773799419403076,346.3923587783328
138,4086,44.0,108.05,0.11712206434458494,0.24983705645845267,44,0.13680577278137207,321.623854793876
139,4286,200.0,117.35,0.11546350353397429,0.24733868589386815,200,0.6001582145690918,333.24545952203323
140,4486,200.0,126.45,0.11268121033906936,0.24486529903492946,200,0.7554483413696289,264.7434497472054
141,4686,200.0,134.85,0.12883612466976047,0.24241664604458016,200,0.58530592918396,341.70164699824966
142,4872,186.0,140.35,0.1267767794109801,0.23999247958413436,186,0.5281155109405518,352.19567717059044
143,5072,200.0,147.4,0.11876805081963539,0.23759255478829303,200,0.5191891193389893,385.2160851418303
144,5270,198.0,156.4,0.13257529518821023,0.2352166292404101,198,0.5944235324859619,333.0958301262678
145,5470,200.0,161.3,0.1195971404761076,0.232864462948006,200,0.5910241603851318,338.39564167676843
146,5670,200.0,165.35,0.1268155341502279,0.23053581831852593,200,0.5336668491363525,374.7656432541489
147,5870,200.0,172.7,0.12429777164012194,0.22823046013534068,200,0.5385205745697021,371.3878530264278
148,6070,200.0,176.25,0.12220291089266538,0.22594815553398728,200,0.4975244998931885,401.9902538325996
149,6270,200.0,180.05,0.121616869000718,0.22368867397864742,200,0.5139329433441162,389.15582779850166
150,6470,200.0,186.4,0.1199418436549604,0.22145178723886094,200,0.504629373550415,396.33047635111353
151,6670,200.0,191.4,0.13270318945869802,0.21923726936647234,200,0.6715846061706543,297.80313330942937
152,6870,200.0,191.4,0.1399624247662723,0.2170448966728076,200,0.6531307697296143,306.21739055839737
153,7070,200.0,191.4,0.1297746717184782,0.21487444770607952,200,0.6647946834564209,300.8447645221136
154,7270,200.0,191.4,0.135320945661515,0.21272570322901874,200,0.6935908794403076,288.3544261155651
155,7470,200.0,191.4,0.13165097205433995,0.21059844619672854,200,0.5395915508270264,370.65072589343197
156,7670,200.0,191.4,0.13536868944764138,0.20849246173476127,200,0.632958173751831,315.97664473547917
157,7870,200.0,191.4,0.14107739651575685,0.20640753711741366,200,0.5791480541229248,345.33483895216506
158,8070,200.0,199.2,0.13569651736877858,0.20434346174623952,200,0.594266414642334,336.5493911015858
